"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-04",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-05",,,,,,,,,,,,,,,"0.25",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-06",,,,,,,,,,,,,,,"0.72",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-07",,,,,,,,,,,,,,,"0.07",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-08",,,,,,,,,,,,,,,"2.39",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-09",,,,,,,,,,,,,,,"0.37",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-10",,,,,,,,,,,,,,,"0.13",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-11",,,,,,,,,,,,,,,"0.25",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-12",,,,,,,,,,,,,,,"0.04",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-13",,,,,,,,,,,,,,,"0.25",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-14",,,,,,,,,,,,,,,"0.17",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-15",,,,,,,,,,,,,,,"0.22",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-16",,,,,,,,,,,,,,,"0.85",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-17",,,,,,,,,,,,,,,"0.13",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-18",,,,,,,,,,,,,,,"0.03",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-19",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-20",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-21",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-22",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-23",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-24",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-25",,,,,,,,,,,,,,,"0.00",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-26",,,,,,,,,,,,,,,"0.92",",,a",,,,,,
"ASN00009168","KARRAGULLEN, AS","-32.1189","116.1206","300.0","2013-08-27",,,,,,,,,,,,,,,"0.13",",,a",,,,,,
